id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Desert Wind,Canyon Folk,country,relaxed,0.45,96,0.68,0.55,0.82
12,Neon Pulse,Grid Drop,edm,intense,0.95,140,0.65,0.92,0.04
13,Rain on Tin Roof,The Hollow,folk,moody,0.30,74,0.38,0.45,0.91
14,Salsa Caliente,Fuego Trio,latin,happy,0.88,158,0.86,0.90,0.15
15,Midnight Sonata,Echo Chamber,classical,focused,0.22,68,0.55,0.30,0.95
16,Bass Drop City,Urban Riff,hip-hop,intense,0.85,94,0.58,0.86,0.09
17,Sunday Morning,Gentle Pines,acoustic,chill,0.25,70,0.75,0.42,0.97
18,Electric Dreams,Circuit Riot,indie rock,moody,0.68,112,0.44,0.68,0.28
19,Bamboo Breeze,World Pulse,world,chill,0.38,84,0.70,0.55,0.76
20,Carnival of Souls,Brass Attack,ska,happy,0.80,162,0.83,0.85,0.20
